itinerary,leg_pos,row_number,record_serial,carrier,flight_number,operational_suffix,itinerary_var_id,itinerary_var_overflow,leg_sequence_number,service_type,operating_carrier,operating_flight_number,departure_station,arrival_station
721,3,30172,217529,UA,904, ,1, ,1,J,UA,904,EWR,LHR
722,1,92689,669453,UA,2280, ,5, ,1,J,UA,2280,ORD,MCO
722,2,94442,682555,UA,2310, ,12, ,1,J,UA,2310,MCO,EWR
722,3,30172,217529,UA,904, ,1, ,1,J,UA,904,EWR,LHR
723,1,132459,960636,UA,4613, ,4, ,1,J,UA,4613,ORD,STL
723,2,117179,851755,UA,3502, ,7, ,1,J,UA,3502,STL,EWR
723,3,1420,9523,UA,146, ,5, ,1,J,UA,146,EWR,LHR
724,1,132459,960636,UA,4613, ,4, ,1,J,UA,4613,ORD,STL
724,2,118805,864296,UA,3573, ,2, ,1,J,UA,3573,STL,EWR
724,3,1420,9523,UA,146, ,5, ,1,J,UA,146,EWR,LHR
725,1,59703,428471,UA,1652, ,8, ,1,J,UA,1652,ORD,DTW
725,2,115133,835546,UA,3425, ,5, ,1,J,UA,3425,DTW,EWR
725,3,30172,217529,UA,904, ,1, ,1,J,UA,904,EWR,LHR
726,1,59703,428471,UA,1652, ,8, ,1,J,UA,1652,ORD,DTW
726,2,122025,889429,UA,3706, ,12, ,1,J,UA,3706,DTW,EWR
726,3,30172,217529,UA,904, ,1, ,1,J,UA,904,EWR,LHR
727,1,119840,872238,UA,3618, ,5, ,1,J,UA,3618,ORD,CLT
727,2,115743,840450,UA,3442, ,6, ,1,J,UA,3442,CLT,EWR
727,3,30172,217529,UA,904, ,1, ,1,J,UA,904,EWR,LHR
728,1,119840,872238,UA,3618, ,5, ,1,J,UA,3618,ORD,CLT
728,2,115769,840651,UA,3443, ,6, ,1,J,UA,3443,CLT,EWR
728,3,30172,217529,UA,904, ,1, ,1,J,UA,904,EWR,LHR
729,1,78754,566769,UA,2034, ,11, ,1,J,UA,2034,ORD,MSY
729,2,86950,627372,UA,2183, ,21, ,2,J,UA,2183,MSY,EWR
729,3,30172,217529,UA,904, ,1, ,1,J,UA,904,EWR,LHR
730,1,78754,566769,UA,2034, ,11, ,1,J,UA,2034,ORD,MSY
730,2,115595,839238,UA,3438, ,13, ,1,J,UA,3438,MSY,EWR
730,3,30172,217529,UA,904, ,1, ,1,J,UA,904,EWR,LHR
731,1,39363,281470,UA,1231, ,8, ,1,J,UA,1231,ORD,IAH
731,2,39897,285232,UA,1246, ,4, ,1,J,UA,1246,IAH,DEN
731,3,299,2064,UA,27, ,2, ,1,J,UA,27,DEN,LHR
732,1,39363,281470,UA,1231, ,8, ,1,J,UA,1231,ORD,IAH
732,2,77838,560246,UA,2013, ,7, ,2,J,UA,2013,IAH,DEN
732,3,299,2064,UA,27, ,2, ,1,J,UA,27,DEN,LHR
733,1,95016,686673,UA,2323, ,2, ,1,J,UA,2323,ORD,MCO
733,2,10431,74518,UA,413, ,11, ,2,J,UA,413,MCO,IAD
733,3,30370,218905,UA,924, ,2, ,1,J,UA,924,IAD,LHR
734,1,95016,686673,UA,2323, ,2, ,1,J,UA,2323,ORD,MCO
734,2,76937,553803,UA,1997, ,11, ,1,J,UA,1997,MCO,IAD
734,3,30370,218905,UA,924, ,2, ,1,J,UA,924,IAD,LHR
735,1,95016,686673,UA,2323, ,2, ,1,J,UA,2323,ORD,MCO
735,2,80525,579705,UA,2065, ,10, ,1,J,UA,2065,MCO,IAD
735,3,30370,218905,UA,924, ,2, ,1,J,UA,924,IAD,LHR
736,1,119367,868667,UA,3597, ,4, ,2,J,UA,3597,ORD,CHS
736,2,116441,845924,UA,3472, ,4, ,1,J,UA,3472,CHS,EWR
736,3,1420,9523,UA,146, ,5, ,1,J,UA,146,EWR,LHR
737,1,93941,678782,UA,2301, ,10, ,1,J,UA,2301,ORD,EWR
737,2,115513,838645,UA,3434, ,2, ,1,J,UA,3434,EWR,YYZ
737,3,188087,281357,UA,8412, ,5, ,1,J,AC,858,YYZ,LHR
738,1,93941,678782,UA,2301, ,10, ,1,J,UA,2301,ORD,EWR
738,2,118461,861618,UA,3557, ,3, ,1,J,UA,3557,EWR,YYZ
738,3,188087,281357,UA,8412, ,5, ,1,J,AC,858,YYZ,LHR
739,1,93941,678782,UA,2301, ,10, ,1,J,UA,2301,ORD,EWR
739,2,119919,872846,UA,3622, ,1, ,1,J,UA,3622,EWR,YYZ
739,3,188087,281357,UA,8412, ,5, ,1,J,AC,858,YYZ,LHR
740,1,93941,678782,UA,2301, ,10, ,1,J,UA,2301,ORD,EWR
740,2,183913,258555,UA,8119, ,9, ,1,J,AC,8883,EWR,YYZ
740,3,188087,281357,UA,8412, ,5, ,1,J,AC,858,YYZ,LHR
741,1,93941,678782,UA,2301, ,10, ,1,J,UA,2301,ORD,EWR
741,2,188411,283161,UA,8432, ,5, ,1,J,AC,8881,EWR,YYZ
741,3,188087,281357,UA,8412, ,5, ,1,J,AC,858,YYZ,LHR
742,1,93941,678782,UA,2301, ,10, ,1,J,UA,2301,ORD,EWR
742,2,188468,283465,UA,8436, ,7, ,1,J,AC,8879,EWR,YYZ
742,3,188087,281357,UA,8412, ,5, ,1,J,AC,858,YYZ,LHR
743,1,5458,37716,UA,307, ,12, ,2,J,UA,307,ORD,DCA
743,2,124664,907100,UA,4180, ,13, ,1,J,UA,4180,DCA,EWR
743,3,1420,9523,UA,146, ,5, ,1,J,UA,146,EWR,LHR
744,1,5458,37716,UA,307, ,12, ,2,J,UA,307,ORD,DCA
744,2,128265,931736,UA,4413, ,12, ,1,J,UA,4413,DCA,EWR
744,3,1420,9523,UA,146, ,5, ,1,J,UA,146,EWR,LHR
745,1,5458,37716,UA,307, ,12, ,2,J,UA,307,ORD,DCA
745,2,131288,952456,UA,4560, ,10, ,1,J,UA,4560,DCA,EWR
745,3,1420,9523,UA,146, ,5, ,1,J,UA,146,EWR,LHR
746,1,59890,429833,UA,1656, ,1, ,1,J,UA,1656,ORD,CUN
746,2,35450,253661,UA,1133, ,1, ,1,J,UA,1133,CUN,IAD
746,3,30370,218905,UA,924, ,2, ,1,J,UA,924,IAD,LHR
747,1,51466,369154,UA,1486, ,8, ,2,J,UA,1486,ORD,FLL
747,2,33166,237828,UA,1067, ,16, ,1,J,UA,1067,FLL,EWR
747,3,1420,9523,UA,146, ,5, ,1,J,UA,146,EWR,LHR
748,1,51466,369154,UA,1486, ,8, ,2,J,UA,1486,ORD,FLL
748,2,50455,361943,UA,1469, ,14, ,2,J,UA,1469,FLL,EWR
748,3,1420,9523,UA,146, ,5, ,1,J,UA,146,EWR,LHR
749,1,51466,369154,UA,1486, ,8, ,2,J,UA,1486,ORD,FLL
749,2,101687,735745,UA,2445, ,6, ,1,J,UA,2445,FLL,EWR
749,3,1420,9523,UA,146, ,5, ,1,J,UA,146,EWR,LHR
750,1,68069,489647,UA,1815, ,5, ,1,J,UA,1815,ORD,DCA
750,2,128265,931736,UA,4413, ,12, ,1,J,UA,4413,DCA,EWR
750,3,30172,217529,UA,904, ,1, ,1,J,UA,904,EWR,LHR
751,1,68069,489647,UA,1815, ,5, ,1,J,UA,1815,ORD,DCA
751,2,128942,936379,UA,4442, ,13, ,1,J,UA,4442,DCA,EWR
