itinerary,leg_pos,row_number,record_serial,carrier,flight_number,operational_suffix,itinerary_var_id,itinerary_var_overflow,leg_sequence_number,service_type,operating_carrier,operating_flight_number,departure_station,arrival_station
635,2,3243,21972,UA,248, ,7, ,1,J,UA,248,DFW,DEN
635,3,106147,768772,UA,2613, ,4, ,1,J,UA,2613,DEN,EWR
636,1,155014,136085,UA,6122, ,8, ,1,J,UA,6122,IAH,OKC
636,2,116171,843834,UA,3460, ,12, ,1,J,UA,3460,OKC,ORD
636,3,27607,199973,UA,759, ,5, ,1,J,UA,759,ORD,EWR
637,1,83830,603991,UA,2124, ,7, ,1,J,UA,2124,IAH,ORD
637,2,87841,633879,UA,2201, ,12, ,2,J,UA,2201,ORD,BNA
637,3,2485,16594,UA,222, ,13, ,3,J,UA,222,BNA,EWR
638,1,32507,233442,UA,1044, ,12, ,1,J,UA,1044,IAH,ORD
638,2,48421,347747,UA,1414, ,9, ,2,J,UA,1414,ORD,TPA
638,3,99011,716212,UA,2398, ,18, ,1,J,UA,2398,TPA,EWR
639,1,32507,233442,UA,1044, ,12, ,1,J,UA,1044,IAH,ORD
639,2,69083,496998,UA,1834, ,5, ,1,J,UA,1834,ORD,TPA
639,3,99011,716212,UA,2398, ,18, ,1,J,UA,2398,TPA,EWR
640,1,86830,626446,UA,2182, ,6, ,1,J,UA,2182,IAH,ORD
640,2,81768,588761,UA,2091, ,4, ,2,J,UA,2091,ORD,RDU
640,3,120448,877022,UA,3643, ,9, ,1,J,UA,3643,RDU,EWR
641,1,86830,626446,UA,2182, ,6, ,1,J,UA,2182,IAH,ORD
641,2,107967,781990,UA,2653, ,5, ,1,J,UA,2653,ORD,RDU
641,3,120448,877022,UA,3643, ,9, ,1,J,UA,3643,RDU,EWR
642,1,32507,233442,UA,1044, ,12, ,1,J,UA,1044,IAH,ORD
642,2,32508,233450,UA,1044, ,12, ,2,J,UA,1044,ORD,BOS
642,3,51700,370832,UA,1491, ,11, ,3,J,UA,1491,BOS,EWR
643,1,100799,729201,UA,2433, ,4, ,1,J,UA,2433,IAH,DEN
643,2,6372,44312,UA,331, ,6, ,1,J,UA,331,DEN,BOS
643,3,51700,370832,UA,1491, ,11, ,3,J,UA,1491,BOS,EWR
644,1,126312,918307,UA,4293, ,4, ,1,J,UA,4293,IAH,PNS
644,2,77449,557491,UA,2005, ,13, ,1,J,UA,2005,PNS,ORD
644,3,16521,119205,UA,534, ,21, ,1,J,UA,534,ORD,EWR
645,1,58060,416956,UA,1617, ,8, ,1,J,UA,1617,IAH,ORD
645,2,49813,357704,UA,1448, ,6, ,2,J,UA,1448,ORD,RSW
645,3,105048,760302,UA,2601, ,17, ,3,J,UA,2601,RSW,EWR
646,1,32507,233442,UA,1044, ,12, ,1,J,UA,1044,IAH,ORD
646,2,31867,229517,UA,1020, ,5, ,1,J,UA,1020,ORD,CMH
646,3,121326,883900,UA,3675, ,4, ,1,J,UA,3675,CMH,EWR
647,1,32507,233442,UA,1044, ,12, ,1,J,UA,1044,IAH,ORD
647,2,62613,449369,UA,1719, ,4, ,1,J,UA,1719,ORD,CMH
647,3,121326,883900,UA,3675, ,4, ,1,J,UA,3675,CMH,EWR
648,1,32507,233442,UA,1044, ,12, ,1,J,UA,1044,IAH,ORD
