itinerary,leg_pos,row_number,record_serial,carrier,flight_number,operational_suffix,itinerary_var_id,itinerary_var_overflow,leg_sequence_number,service_type,operating_carrier,operating_flight_number,departure_station,arrival_station
1168,3,35326,252849,UA,1129, ,4, ,1,J,UA,1129,MCO,SFO
1169,1,45195,324024,UA,1357, ,14, ,1,J,UA,1357,ORD,IAD
1169,2,88164,636241,UA,2206, ,3, ,1,J,UA,2206,IAD,MCO
1169,3,35326,252849,UA,1129, ,4, ,1,J,UA,1129,MCO,SFO
1170,1,68399,492034,UA,1823, ,8, ,1,J,UA,1823,ORD,IAH
1170,2,39897,285232,UA,1246, ,4, ,1,J,UA,1246,IAH,DEN
1170,3,115,792,UA,9, ,2, ,2,J,UA,9,DEN,SFO
1171,1,68399,492034,UA,1823, ,8, ,1,J,UA,1823,ORD,IAH
1171,2,49905,358370,UA,1450, ,9, ,2,J,UA,1450,IAH,DEN
1171,3,115,792,UA,9, ,2, ,2,J,UA,9,DEN,SFO
1172,1,68399,492034,UA,1823, ,8, ,1,J,UA,1823,ORD,IAH
1172,2,75848,546011,UA,1970, ,16, ,1,J,UA,1970,IAH,DEN
1172,3,115,792,UA,9, ,2, ,2,J,UA,9,DEN,SFO
1173,1,68399,492034,UA,1823, ,8, ,1,J,UA,1823,ORD,IAH
1173,2,77838,560246,UA,2013, ,7, ,2,J,UA,2013,IAH,DEN
1173,3,115,792,UA,9, ,2, ,2,J,UA,9,DEN,SFO
1174,1,59949,430230,UA,1658, ,6, ,1,J,UA,1658,ORD,EWR
1174,2,49402,354897,UA,1435, ,4, ,1,J,UA,1435,EWR,MCO
1174,3,106471,771135,UA,2620, ,4, ,1,J,UA,2620,MCO,SFO
1175,1,59949,430230,UA,1658, ,6, ,1,J,UA,1658,ORD,EWR
1175,2,63879,458738,UA,1739, ,17, ,1,J,UA,1739,EWR,MCO
1175,3,106471,771135,UA,2620, ,4, ,1,J,UA,2620,MCO,SFO
1176,1,59949,430230,UA,1658, ,6, ,1,J,UA,1658,ORD,EWR
1176,2,98842,714816,UA,2396, ,17, ,1,J,UA,2396,EWR,MCO
1176,3,106471,771135,UA,2620, ,4, ,1,J,UA,2620,MCO,SFO
1177,1,63917,459011,UA,1740, ,5, ,1,J,UA,1740,ORD,RSW
1177,2,79849,574741,UA,2054, ,8, ,1,J,UA,2054,RSW,IAD
1177,3,64893,466274,UA,1757, ,7, ,1,J,UA,1757,IAD,SFO
1178,1,39363,281470,UA,1231, ,8, ,1,J,UA,1231,ORD,IAH
1178,2,64051,460027,UA,1743, ,26, ,2,J,UA,1743,IAH,LAX
1178,3,143605,46012,UA,5414, ,6, ,1,J,UA,5414,LAX,SFO
1179,1,39363,281470,UA,1231, ,8, ,1,J,UA,1231,ORD,IAH
1179,2,74155,533258,UA,1945, ,3, ,1,J,UA,1945,IAH,LAX
1179,3,143605,46012,UA,5414, ,6, ,1,J,UA,5414,LAX,SFO
1180,1,39363,281470,UA,1231, ,8, ,1,J,UA,1231,ORD,IAH
1180,2,102551,742083,UA,2460, ,8, ,2,J,UA,2460,IAH,LAX
1180,3,143605,46012,UA,5414, ,6, ,1,J,UA,5414,LAX,SFO
1181,1,129955,943270,UA,4489, ,4, ,1,J,UA,4489,ORD,MSN
1181,2,110602,802021,UA,2736, ,5, ,1,J,UA,2736,MSN,DEN
1181,3,83770,603542,UA,2123, ,8, ,2,J,UA,2123,DEN,SFO
1182,1,68399,492034,UA,1823, ,8, ,1,J,UA,1823,ORD,IAH
1182,2,155150,137027,UA,6133, ,2, ,1,J,UA,6133,IAH,PSP
1182,3,147934,80391,UA,5631, ,7, ,1,J,UA,5631,PSP,SFO
1183,1,92689,669453,UA,2280, ,5, ,1,J,UA,2280,ORD,MCO
1183,2,80525,579705,UA,2065, ,10, ,1,J,UA,2065,MCO,IAD
1183,3,64893,466274,UA,1757, ,7, ,1,J,UA,1757,IAD,SFO
1184,1,17869,128722,UA,563, ,8, ,1,J,UA,563,ORD,EWR
1184,2,76721,552311,UA,1992, ,14, ,1,J,UA,1992,EWR,IAD
1184,3,64893,466274,UA,1757, ,7, ,1,J,UA,1757,IAD,SFO
1185,1,39363,281470,UA,1231, ,8, ,1,J,UA,1231,ORD,IAH
1185,2,5434,37542,UA,306, ,1, ,1,J,UA,306,IAH,MCI
1185,3,140952,24853,UA,5282, ,2, ,1,J,UA,5282,MCI,SFO
1186,1,39363,281470,UA,1231, ,8, ,1,J,UA,1231,ORD,IAH
1186,2,122577,893091,UA,3987, ,6, ,1,J,UA,3987,IAH,MCI
1186,3,140952,24853,UA,5282, ,2, ,1,J,UA,5282,MCI,SFO
1187,1,132459,960636,UA,4613, ,4, ,1,J,UA,4613,ORD,STL
1187,2,39605,283236,UA,1236, ,12, ,1,J,UA,1236,STL,DEN
1187,3,83770,603542,UA,2123, ,8, ,2,J,UA,2123,DEN,SFO
1188,1,132459,960636,UA,4613, ,4, ,1,J,UA,4613,ORD,STL
1188,2,46580,334344,UA,1380, ,9, ,1,J,UA,1380,STL,DEN
1188,3,83770,603542,UA,2123, ,8, ,2,J,UA,2123,DEN,SFO
1189,1,32942,236319,UA,1061, ,8, ,2,J,UA,1061,ORD,AUS
1189,2,11778,84516,UA,439, ,8, ,1,J,UA,439,AUS,DEN
1189,3,83770,603542,UA,2123, ,8, ,2,J,UA,2123,DEN,SFO
1190,1,32942,236319,UA,1061, ,8, ,2,J,UA,1061,ORD,AUS
1190,2,28777,208095,UA,785, ,12, ,1,J,UA,785,AUS,DEN
1190,3,83770,603542,UA,2123, ,8, ,2,J,UA,2123,DEN,SFO
1191,1,32942,236319,UA,1061, ,8, ,2,J,UA,1061,ORD,AUS
1191,2,101769,736368,UA,2447, ,2, ,1,J,UA,2447,AUS,DEN
1191,3,83770,603542,UA,2123, ,8, ,2,J,UA,2123,DEN,SFO
1192,1,13916,99876,UA,490, ,8, ,2,J,UA,490,ORD,SAT
1192,2,103623,749865,UA,2479, ,5, ,1,J,UA,2479,SAT,DEN
1192,3,83770,603542,UA,2123, ,8, ,2,J,UA,2123,DEN,SFO
1193,1,119840,872238,UA,3618, ,5, ,1,J,UA,3618,ORD,CLT
1193,2,122260,891304,UA,3716, ,3, ,1,J,UA,3716,CLT,IAD
1193,3,64893,466274,UA,1757, ,7, ,1,J,UA,1757,IAD,SFO
1194,1,121124,882376,UA,3668, ,11, ,1,J,UA,3668,ORD,IND
1194,2,107560,779107,UA,2644, ,5, ,1,J,UA,2644,IND,DEN
1194,3,83770,603542,UA,2123, ,8, ,2,J,UA,2123,DEN,SFO
1195,1,146956,72519,UA,5581, ,2, ,1,J,UA,5581,ORD,MDT
1195,2,125886,915392,UA,4268, ,5, ,1,J,UA,4268,MDT,IAD
1195,3,64893,466274,UA,1757, ,7, ,1,J,UA,1757,IAD,SFO
1196,1,146956,72519,UA,5581, ,2, ,1,J,UA,5581,ORD,MDT
1196,2,137757,582,UA,4974, ,8, ,1,J,UA,4974,MDT,IAD
1196,3,64893,466274,UA,1757, ,7, ,1,J,UA,1757,IAD,SFO
1197,1,130081,944142,UA,4496, ,4, ,1,J,UA,4496,ORD,YOW
1197,2,131840,956245,UA,4587, ,3, ,1,J,UA,4587,YOW,EWR
1197,3,69420,499368,UA,1844, ,17, ,1,J,UA,1844,EWR,SFO
1198,1,129067,937236,UA,4445, ,4, ,1,J,UA,4445,ORD,SGF
1198,2,137903,1570,UA,4996, ,2, ,1,J,UA,4996,SGF,IAH
1198,3,85807,618815,UA,2166, ,13, ,3,J,UA,2166,IAH,SFO
1199,1,150996,104530,UA,5795, ,2, ,1,J,UA,5795,ORD,TUL
1199,2,126866,922095,UA,4331, ,3, ,1,J,UA,4331,TUL,IAH
1199,3,85807,618815,UA,2166, ,13, ,3,J,UA,2166,IAH,SFO
