itinerary,leg_pos,row_number,record_serial,carrier,flight_number,operational_suffix,itinerary_var_id,itinerary_var_overflow,leg_sequence_number,service_type,operating_carrier,operating_flight_number,departure_station,arrival_station
288,3,148287,83130,UA,5647, ,2, ,1,J,UA,5647,SBA,LAX
289,1,84984,612745,UA,2149, ,4, ,1,J,UA,2149,DEN,SMF
289,2,140253,19304,UA,5248, ,2, ,1,J,UA,5248,SMF,SFO
289,3,150397,99861,UA,5759, ,6, ,1,J,UA,5759,SFO,LAX
290,1,84984,612745,UA,2149, ,4, ,1,J,UA,2149,DEN,SMF
290,2,151754,110540,UA,5840, ,3, ,1,J,UA,5840,SMF,SFO
290,3,150397,99861,UA,5759, ,6, ,1,J,UA,5759,SFO,LAX
291,1,39927,285450,UA,1247, ,4, ,1,J,UA,1247,DEN,PDX
291,2,28227,204197,UA,776, ,9, ,1,J,UA,776,PDX,SFO
291,3,150397,99861,UA,5759, ,6, ,1,J,UA,5759,SFO,LAX
292,1,39927,285450,UA,1247, ,4, ,1,J,UA,1247,DEN,PDX
292,2,153000,120474,UA,5938, ,7, ,1,J,UA,5938,PDX,SFO
292,3,150397,99861,UA,5759, ,6, ,1,J,UA,5759,SFO,LAX
293,1,115,792,UA,9, ,2, ,2,J,UA,9,DEN,SFO
293,2,99134,717120,UA,2400, ,10, ,2,J,UA,2400,SFO,LAS
293,3,79006,568560,UA,2039, ,7, ,1,J,UA,2039,LAS,LAX
294,1,50831,364375,UA,1481, ,2, ,1,J,UA,1481,DEN,PHX
294,2,50112,359732,UA,1458, ,1, ,2,J,UA,1458,PHX,SFO
294,3,150397,99861,UA,5759, ,6, ,1,J,UA,5759,SFO,LAX
295,1,50831,364375,UA,1481, ,2, ,1,J,UA,1481,DEN,PHX
295,2,106377,770439,UA,2619, ,8, ,1,J,UA,2619,PHX,SFO
295,3,150397,99861,UA,5759, ,6, ,1,J,UA,5759,SFO,LAX
296,1,149099,89534,UA,5686, ,5, ,1,J,UA,5686,DEN,TUS
296,2,147004,72895,UA,5583, ,7, ,1,J,UA,5583,TUS,SFO
296,3,150397,99861,UA,5759, ,6, ,1,J,UA,5759,SFO,LAX
297,1,19578,141280,UA,593, ,14, ,1,J,UA,593,DEN,SAN
297,2,65213,468629,UA,1763, ,6, ,1,J,UA,1763,SAN,SFO
297,3,150397,99861,UA,5759, ,6, ,1,J,UA,5759,SFO,LAX
298,1,19578,141280,UA,593, ,14, ,1,J,UA,593,DEN,SAN
298,2,83293,600069,UA,2117, ,9, ,1,J,UA,2117,SAN,SFO
