itinerary,leg_pos,row_number,record_serial,carrier,flight_number,operational_suffix,itinerary_var_id,itinerary_var_overflow,leg_sequence_number,service_type,operating_carrier,operating_flight_number,departure_station,arrival_station
71,2,58060,416956,UA,1617, ,8, ,1,J,UA,1617,IAH,ORD
71,3,186607,273338,UA,8308, ,8, ,1,J,AC,508,ORD,YYZ
72,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
72,2,83830,603991,UA,2124, ,7, ,1,J,UA,2124,IAH,ORD
72,3,186607,273338,UA,8308, ,8, ,1,J,AC,508,ORD,YYZ
73,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
73,2,86830,626446,UA,2182, ,6, ,1,J,UA,2182,IAH,ORD
73,3,186607,273338,UA,8308, ,8, ,1,J,AC,508,ORD,YYZ
74,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
74,2,99879,722538,UA,2417, ,15, ,1,J,UA,2417,IAH,ORD
74,3,186607,273338,UA,8308, ,8, ,1,J,AC,508,ORD,YYZ
75,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
75,2,49905,358370,UA,1450, ,9, ,2,J,UA,1450,IAH,DEN
75,3,188335,282739,UA,8426, ,1, ,1,J,AC,1038,DEN,YYZ
76,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
76,2,75848,546011,UA,1970, ,16, ,1,J,UA,1970,IAH,DEN
76,3,188335,282739,UA,8426, ,1, ,1,J,AC,1038,DEN,YYZ
77,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
77,2,85850,619132,UA,2167, ,6, ,1,J,UA,2167,IAH,DEN
77,3,188335,282739,UA,8426, ,1, ,1,J,AC,1038,DEN,YYZ
78,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
78,2,76070,547543,UA,1977, ,4, ,1,J,UA,1977,IAH,BOS
78,3,188951,286045,UA,8471, ,5, ,1,J,AC,8695,BOS,YYZ
79,1,123683,900768,UA,4041, ,5, ,1,J,UA,4041,LFT,IAH
79,2,22127,159657,UA,654, ,12, ,2,J,UA,654,IAH,DCA
79,3,189955,291460,UA,8551, ,5, ,1,J,AC,8787,DCA,YYZ
80,1,123683,900768,UA,4041, ,5, ,1,J,UA,4041,LFT,IAH
80,2,94502,683025,UA,2311, ,15, ,1,J,UA,2311,IAH,DCA
80,3,189955,291460,UA,8551, ,5, ,1,J,AC,8787,DCA,YYZ
81,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
81,2,59663,428178,UA,1651, ,11, ,2,J,UA,1651,IAH,BNA
81,3,183830,258096,UA,8114, ,3, ,1,J,AC,8856,BNA,YYZ
82,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
82,2,86188,621599,UA,2174, ,9, ,1,J,UA,2174,IAH,BNA
82,3,183830,258096,UA,8114, ,3, ,1,J,AC,8856,BNA,YYZ
83,1,143735,47084,UA,5419, ,7, ,1,J,UA,5419,LFT,IAH
83,2,13302,95419,UA,477, ,14, ,2,J,UA,477,IAH,ORD
83,3,188986,286240,UA,8473, ,12, ,1,J,AC,510,ORD,YYZ
84,1,143735,47084,UA,5419, ,7, ,1,J,UA,5419,LFT,IAH
84,2,67714,487113,UA,1807, ,8, ,1,J,UA,1807,IAH,ORD
84,3,188986,286240,UA,8473, ,12, ,1,J,AC,510,ORD,YYZ
85,1,143735,47084,UA,5419, ,7, ,1,J,UA,5419,LFT,IAH
85,2,99879,722538,UA,2417, ,15, ,1,J,UA,2417,IAH,ORD
85,3,188986,286240,UA,8473, ,12, ,1,J,AC,510,ORD,YYZ
86,1,143735,47084,UA,5419, ,7, ,1,J,UA,5419,LFT,IAH
86,2,47667,342391,UA,1397, ,16, ,1,J,UA,1397,IAH,EWR
86,3,115007,834559,UA,3419, ,5, ,1,J,UA,3419,EWR,YYZ
87,1,143735,47084,UA,5419, ,7, ,1,J,UA,5419,LFT,IAH
87,2,105301,762043,UA,2608, ,7, ,2,J,UA,2608,IAH,EWR
87,3,115007,834559,UA,3419, ,5, ,1,J,UA,3419,EWR,YYZ
88,1,123683,900768,UA,4041, ,5, ,1,J,UA,4041,LFT,IAH
88,2,23325,168568,UA,678, ,6, ,2,J,UA,678,IAH,LGA
88,3,185349,266505,UA,8235, ,4, ,1,J,AC,8995,LGA,YYZ
89,1,123683,900768,UA,4041, ,5, ,1,J,UA,4041,LFT,IAH
89,2,154955,135678,UA,6120, ,2, ,1,J,UA,6120,IAH,LGA
89,3,185349,266505,UA,8235, ,4, ,1,J,AC,8995,LGA,YYZ
90,1,123683,900768,UA,4041, ,5, ,1,J,UA,4041,LFT,IAH
90,2,47667,342391,UA,1397, ,16, ,1,J,UA,1397,IAH,EWR
90,3,183913,258555,UA,8119, ,9, ,1,J,AC,8883,EWR,YYZ
91,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
91,2,122592,893195,UA,3988, ,2, ,1,J,UA,3988,IAH,CLT
