ALLNCENM,ALNCD,ADJUSTPOO
INTER JL RB,JL,N
INTER JL RB,RB,N
UA-UK,UA,N
UA-UK,UK,N
VIVA,VH,N
VIVA,VV,N
VALUE-ALLIANCE,5J,N
VALUE-ALLIANCE,7C,N
VALUE-ALLIANCE,DD,N
VALUE-ALLIANCE,DG,N
VALUE-ALLIANCE,TR,N
VALUE-ALLIANCE,XW,N
INTER AF PS,AF,N
INTER AF PS,PS,N
